Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
Лопь-Ю (Небдинга);03020200112103000014480 / 103001448;р. Лопь-Ю - пос.Лопьювад;70207;46;839;118.7;БС;20.07.1974;Действует;Северное УГМС;61.75079;55.18136
Сура;03020300312103000036432 / 103003643;р.Сура - д.Гора;70345;9.6;1060;55.69;БС 77;26.07.1974;Действует;Северное УГМС;63.53688;45.60816
ДАЛЬНЯЯ;20030700312118100057128 / 118105712;р.Дальняя - р.п.Восток;5262;83;780;390;БС;01.08.1974;Действует;Приморское УГМС;46.44543;135.82541
Дагомыс Западный;06030000312109100000646 / 109100064;р.Западный Дагомыс - пос.Дагомыс;82033;2;47.1;1;БС 77;01.08.1974;Действует;СЦГМС ЧАМ;43.66216;39.65304
;;ОЗ.ШЕЯ - С.ШЕЯ;5100130;;;123.2;БС;01.08.1974;Действует;Якутское УГМС;62.83;117.53
КИЯ;13010400212115200018064 / 115201806;Р.КИЯ - С.ЧУМАЙ;10385;343;5680;169.26;БС;02.08.1974;Действует;Западно-Сибирское УГМС;55.70901;87.79888
ПОЗИМЬ;10010101212111100027040 / 111102704;P.ПOЗИMЬ - Г.ИЖEBCK;76504;1.5;768;85.62;БС;08.08.1974;Действует;Верхне-Волжское УГМС;56.80387;53.22987
Решеты;16010200212116200034808 / 116203480;р.Решёты - ст.Решёты;8359;21;245;252.81;БС 77;14.08.1974;Действует;Среднесибирское УГМС;56.14285;97.17456
Ковран;19080000212120000033332 / 120003333;р.Ковран - с.Ковран;2193;4.3;1120;13;усл.;17.08.1974;Действует;Камчатское УГМС;57.2;156.9
Мал. Визинга (Мал. Визенга);03020200112103000019607 / 103001960;р. Малая Визинга - пос.Ель-База;70230;56;1300;98.42;БС;17.08.1974;Действует;Северное УГМС;61.30869;50.13095
УЯРКА;17010300412116100023676 / 116102367;р.Уярка - г.Уяр;9355;12;262;309.51;БС;23.08.1974;Действует;Среднесибирское УГМС;55.8;94.33
Славка;20050000212118300001224 / 118300122;р. Славка - с. Славы;4043;1.5;119;72.72;БС;01.09.1974;Действует;Сахалинское УГМС;51.03269;142.6422
Базыр;13010400112115200015781 / 115201589;р.Базыр - пос.Горячегорск;10369;44;160;430.83;БС;05.09.1974;Действует;Среднесибирское УГМС;55.40563;88.92977
ТАРТАС;14010200112115300004954 / 115300495;Р.ТАРТАС - С.ЧУВАШИ;11334;420;4540;116.22;БС 77;20.09.1974;Действует;Западно-Сибирское УГМС;56.39879;78.80482
Подкумок;07010000512108200001753 / 108200175;р.Подкумок - ст-ца Незлобная;84399;30;2050;291.04;БС 77;01.10.1974;Действует;Северо-Кавказское УГМС;44.11;43.4
;;ОЗ.ЛЕНДЕРСКОЕ - ПОС.ЛЕНДЕРЫ;3900609;;4680;145.06;БС;01.10.1974;Действует;Северо-Западное УГМС;63.42;31.18
;;ВДХР УСТЬ-ИЛИМСКОЕ - С. ЕРШОВО;2200581;;785000;290;БС;20.10.1974;Действует;Иркутское УГМС;57.149523;102.234397
КУДЬМА;08010400312110000034202 / 110003420;Р.КУДЬМА - Г.КСТОВО;75605;43;1750;68.15;БС;06.11.1974;Действует;Верхне-Волжское УГМС;56.12801;44.16913
;;ВДХР УСТЬ-ИЛИМСКОЕ - ПОС. ИГИРМА;2200636;;785000;290;БС;24.11.1974;Действует;Иркутское УГМС;57;103.6
Атъавай;19080000112120000036532 / 120003653;р.Атъавай - с.Воямполка;2208;0.9;200;6;усл.;01.12.1974;Действует;Камчатское УГМС;58.3;159.4
Побединка;20050000212118300004287 / 118300428;р. Побединка - с. Победино;4071;15;152;101.35;БС;01.12.1974;Действует;Сахалинское УГМС;49.84369;142.81301
Хемчик (Кемчик);17010300112116100008669 / 116100866;р.Хемчик - пос.Ийме;9156;74;25500;637.34;БС;10.12.1974;Действует;Среднесибирское УГМС;51.58;91.6
АНГАРА;16010300112116200000012 / 116200001;р. Ангара - ГЭС Усть-Илимская;8376;837;785000;206.04;БС;21.12.1974;Действует;Иркутское УГМС;57.96;102.7
Чирахчай;07030000412109300002644 / 109300264;р. Чирахчай - с. Куркент;84351;7.6;833;571.93;БС;21.12.1974;Действует;Северо-Кавказское УГМС;41.71;48.13
Иркут;16010100212116200000202 / 116200020;р. Иркут - г. Иркутск;8109;2.5;15000;424.07;БС;01.01.1975;Действует;Иркутское УГМС;52.2977;104.2504
;;ВДХР УСТЬ-ИЛИМСКОЕ - ГЭС УСТЬ-ИЛИМСКАЯ (В. Б. );2200601;;785000;290;БС;01.01.1975;Действует;Иркутское УГМС;57.968163;102.69188
Лена (Большая Лена);18030100212117100000011 / 117100001;р.Лена - с.Таюра;3014;3385;74500;266.67;БС;14.03.1975;Действует;Иркутское УГМС;57.00284;106.52921
Муякан;18030200312117100028857 / 117102885;р.Муякан - гп Лапро;3136;39;2500;579.88;БС 77;26.04.1975;Действует;Забайкальское УГМС;56.29457;114.31162
ТЫЯ;16040000112116300000787 / 116300078;р.Тыя - гп Тыя;7009;20;2380;504.9;БС 77;11.05.1975;Действует;Забайкальское УГМС;55.73573;109.29953
;;ВДХР ПАВЛОВСКОЕ - ПОС. МАГИНСК;5200102;;47100;129;БС;24.05.1975;Действует;Башкирское УГМС;55.76;56.96
;;ВДХР КРАСНОДАРСКОЕ - Г. КРАСНОДАР;4000210;;45000;25;БС;01.06.1975;Действует;Северо-Кавказское УГМС;45.03;39.03
Большой Авзян;10010200212111100017201 / 111101720;р.Большой Авзян - с.Нижний Авзян;76650;3;507;387.76;БС;14.06.1975;Действует;Башкирское УГМС;53.49165;57.58921
Киренга (Лев. Киренга);18030100312117100007438 / 117100743;р.Киренга - д.Ключи;3085;238;28700;356.88;БС;21.06.1975;Действует;Иркутское УГМС;56.19814;107.46865
Бол. Ельма (Ельма);03020100112103000005054 / 103000505;р.Большая Ельма - д.Филютино;70102;10;312;112;БС;01.07.1975;Действует;Северное УГМС;59.6417;39.23275
Чудзьйок;02010000712101000003486 / 101000348;р.Чудзьйок - 4 км от устья;71140;4;1250;153.97;БС 77;09.07.1975;Действует;Мурманское УГМС;68.3143;35.1437
Воронеж;05010100512107000002368 / 107000236;р. Воронеж - г. Липецк 2;78082;186;15300;99.67;БС;11.07.1975;Действует;Центрально-Черноземное УГМС;52.62612;39.67448
Мулянка (Верхняя Мулянка);10010101012111100013960 / 111101396;р. МУЛЯНКА - д. СУББОТИНО;76253;16;336;94.91;БС;15.07.1975;Действует;Уральское УГМС;57.93669;56.18285
ТАЗ;15050000112115300063280 / 115306328;р. Таз - с. Красноселькуп;11590;398;87200;5.54;БС 77;25.07.1975;Действует;Обь-Иртышское УГМС;65.70155;82.43234
ВИТИМ;18030200312117100015361 / 117101536;р.Витим - гп Спицино;3102;741;151000;476.45;БС 77;06.08.1975;Действует;Забайкальское УГМС;56.21352;115.74079
;;ОЗ. УЧУМ - КП УЧУМ;2700173;;192;367.22;БС;18.08.1975;Действует;Среднесибирское УГМС;55.080297;89.703644
Инжура;14010400112115300012410 / 115301241;р. Инжура - д. Созоново;11487;12;459;93.2;усл.;20.08.1975;Действует;Обь-Иртышское УГМС;58.08;69.28
ПИЛЮДА;18030100412117100011480 / 117101148;р.Пилюда - д.Орлова;3581;9.5;1760;46;усл.;22.08.1975;Действует;Иркутское УГМС;58.25;109.01
ПУГАЧЕВКА;20050000212118300005314 / 118300531;р. Пугачевка - с. Пугачёво;4090;12;231;0;усл.;01.09.1975;Действует;Сахалинское УГМС;48.2;142.55
Бирма;20030400412118100039955 / 118103995;р.Бирма - с.Бичура;6403;52;1500;174.64;БС 77;08.09.1975;Действует;Дальневосточное УГМС;51.3866;128.86163
Чая;13010500112115200022991 / 115202299;Р.ЧАЯ - С.ГРИШКИНО;10429;82;26600;43;усл.;18.09.1975;Действует;Западно-Сибирское УГМС;58.08;82.73
Большая Хета;17010800412116100107890 / 116110789;р.Большая Хета - пос.Тухарт;9513;52;20100;-3.5;БС 77;24.09.1975;Действует;Среднесибирское УГМС;69.57;84.32
Шебш (Шебша);06020001512108100005574 / 108100557;р.Шебш - с.Шабановское;83411;60;110;104.46;БС;25.09.1975;Действует;Северо-Кавказское УГМС;44.56762;38.81357
МОСКВА;09010101512110000023004 / 110002300;р. Москва - с. Петрово-Дальнее;75403;246;7320;127.5;БС;14.10.1975;Действует;Центральное УГМС;55.74368;37.17072
Касмарка;12010000512112200005577 / 112200557;р.Касмарка - с.Утягулово;19170;49;656;191.9;БС;19.10.1975;Действует;Башкирское УГМС;51.702184;57.047988
ОМЬ;14010200112115300004626 / 115300462;р. Омь - с. Нижняя Омка;11586;233;44100;81.6;БС 77;03.11.1975;Действует;Обь-Иртышское УГМС;55.4284;74.95993
Большая Слизнева;17010300512116100020766 / 116102076;р.Большая Слизнева - с.Слизнево;9511;0.35;110;147.23;БС 77;04.11.1975;Действует;Среднесибирское УГМС;55.96;92.7
Бирит;16010100812116200005317 / 116200531;р.Бирит - д.Метляева;8194;5.6;75.9;45.9;усл.;20.11.1975;Действует;Иркутское УГМС;54.41;103.08
ВАХ;13011000112115200036930 / 115203707;р. Вах - с. Большетархово;10599;71;73900;34.9;БС 77;20.12.1975;Действует;Обь-Иртышское УГМС;61.12;77.17
Киренга (Лев. Киренга);18030100312117100007438 / 117100743;р.Киренга - р.п.Улькан;3084;292;23700;392.47;БС;01.01.1976;Действует;Иркутское УГМС;55.9;107.66
Курейка (Люма, Нума);17010800212116100099860 / 116109986;р.Курейка - пгт Светлогорск;9429;100;40000;28;БС;01.01.1976;Действует;Среднесибирское УГМС;66.85;88.38
;;ВДХР УСТЬ-ИЛИМСКОЕ - ПОС. СУВОРОВСКИЙ;2200628;;785000;290;БС;10.01.1976;Действует;Иркутское УГМС;48.23290611;43.04786682
Курейка (Люма, Нума);17010800112116100099860 / 116109986;"р.Курейка - гп ""Озёрный""";9183;280;28000;106.06;усл.;26.01.1976;Действует;Среднесибирское УГМС;67.71;91.28
Левый Ул;20030900212118100088271 / 118108827;р.Левый Ул - пос.Многовершинный;5664;14;18.2;0;усл.;01.02.1976;Действует;Дальневосточное УГМС;53.95;139.86
Понча (Пончела, Понсели-йоки);02020000412102000000369 / 102000036;Р.ПOНЧA - ПOС. ПЯOЗЕРСКИЙ;49127;7.6;728;111.3;БС;10.02.1976;Действует;Северо-Западное УГМС;65.78237;31.02239
;;ВДХР УСТЬ-ИЛИМСКОЕ - Р. П. НОВАЯ ИГИРМА;2200679;;785000;290;БС;17.03.1976;Действует;Иркутское УГМС;57;103.6
Барылас;18030600212117300004988 / 117300498;р.Барылас - г.п.Гремучий;3257;1.5;152;553.53;БС;01.04.1976;Действует;Якутское УГМС;56.96;125.38
Мда (Мдичка);01040200212102000021237 / 102002123;Р.MДA - Д.БOЛЬШOЕ ЗAБOРOВЬЕ;72731;9.4;619;45.6;БС;01.04.1976;Действует;Северо-Западное УГМС;58.87958;33.04463
Правый Ыллымах;18030600212117300007187 / 117306048;р.Малый Ыллымах - г.п.Соболиный;3263;0.5;30.3;274;БС;15.04.1976;Действует;Якутское УГМС;58.65;127.03
Модонкуль (Молохотуй);16030000112116300007321 / 116300732;р.Модонкуль - г.Закаменск;7063;13;138;1148.77;БС 77;24.04.1976;Действует;Забайкальское УГМС;50.38;103.3
;;ВДХР ВИЛЮЙСКОЕ - ОГП ЮЛЭГИИР;5100035;;136000;233;БС;01.05.1976;Действует;Якутское УГМС;63.13;110.77
;;ВДХР УСТЬ-ИЛИМСКОЕ - С. ДУБЫНИНО;2200565;;785000;290;БС;02.05.1976;Действует;Иркутское УГМС;56.6;101.8
Ингода;20030100212118100008687 / 118100868;р.Ингода - ст.Тарская;6141;118;32700;570.95;БС 77;14.05.1976;Действует;Забайкальское УГМС;51.63014;114.50524
Тобол;14010500412111200000010 / 111200001;р. Тобол - с. Коркино;12554;559;172000;56.76;БС 77;13.06.1976;Действует;Обь-Иртышское УГМС;56.08122;65.92458
Ирень;10010100812111100013170 / 111101317;р. ИРЕНЬ - д. ЧАЙКА;76648;118;2530;147.02;БС;18.06.1976;Действует;Уральское УГМС;56.88623;56.68149
;;ОЗ.СИНГУЛЬ - С.СИНГУЛЬ ТАТАРСКИЙ;3200158;;;43.5;усл.;28.06.1976;Действует;Обь-Иртышское УГМС;56.590583;66.031788
Орлик;16010100612116200007146 / 116200714;р.Орлик - с.Орлик;8367;2;139;1367;БС;01.07.1976;Действует;Иркутское УГМС;52.54457;99.81889
Боргуста (Большая Бугунта, Бугунта);07010000512108200001837 / 108200183;р.Боргуста - г.Ессентуки;84401;6.7;160;613.55;БС 77;01.07.1976;Действует;Северо-Кавказское УГМС;44.1;42.88
Палатка;19100000212119000142253 / 119014225;р.Палатка - пос.Палатка;1588;1.7;248;294.48;БС;15.07.1976;Действует;Колымское УГМС;60.08;150.93
